WEST,EAST
John,aleksandr
William,nikolaj
James,ivan
Charles,sergej
George,vladimir
Frank,mikhail
Joseph,vasilij
Thomas,aleksej
Henry,andrej
Robert,dmitrij
Edward,viktor
Harry,yurij
Walter,petr
Arthur,anatolij
Fred,pavel
Albert,igor
Samuel,evgenij
David,oleg
Louis,valerij
Joe,vitalij
Charlie,grigorij
Clarence,fedor
Richard,boris
Andrew,gennadij
Daniel,leonid
Ernest,konstantin
Will,vyacheslav
Jesse,georgij
Oscar,denis
Lewis,valentin
Peter,maksim
Benjamin,vadim
Frederick,roman
Willie,ilya
Alfred,ruslan
Sam,stepan
Roy,semen
Herbert,anton
Jacob,eduard
Tom,stanislav
Elmer,yakov
Carl,arkadij
Lee,vladislav
Howard,artem
Martin,kirill
Michael,egor
Bert,artur
Herman,marat
Jim,albert
Francis,lev
Harvey,ildar
Earl,iosif
Eugene,timofej
Ralph,rinat
Ed,rustam
Claude,veniamin
Edwin,rustem
Ben,radik
Charley,aleksand
Paul,ramil
Edgar,afanasij
Isaac,nikita
Otto,filipp
Luther,efim
Lawrence,azat
Ira,timur
Patrick,ajrat
Guy,kuzma
Oliver,german
Theodore,robert
Hugh,aleksanr
Clyde,innokentij
Alexander,damir
August,ilshat
Floyd,yaroslav
Homer,nail
Jack,matvej
Leonard,salavat
Horace,shamil
Marion,ajdar
Philip,tikhon
Allen,ilgiz
Archie,gleb
Stephen,danil
Chester,vsevolod
Willis,ravil
Raymond,rishat
Rufus,mitrofan
Warren,mark
Jessie,gavriil
Milton,genrikh
Alex,daniil
Leo,gavril
Julius,marsel
Ray,farit
Sidney,rafael
Bernard,irek
Dan,leontij
Jerry,kazimir
Calvin,azamat
Perry,rashit
Dave,cheslav
Anthony,serafim
Eddie,svyatoslav
Amos,rim
Dennis,yan
Clifford,ilnur
Leroy,rostislav
Wesley,ildus
Alonzo,tagir
Garfield,renat
Franklin,anvar
Emil,tadeush
Leon,zakhar
Nathan,prokopij
Harold,alik
Matthew,trofim
Levi,david
Moses,arsenij
Everett,nikifor
Lester,magomed
Winfield,dinar
Adam,stefan
Lloyd,kamil
Mack,feliks
Fredrick,vener
Jay,bulat
Jess,rais
Melvin,ibragim
Noah,adam
Aaron,frants
Alvin,ninel
Norman,rail
Gilbert,taras
Elijah,bronislav
Victor,mansur
Gus,alfred
Nelson,vatslav
Jasper,abram
Silas,rafail
Christopher,rif
Jake,genadij
Mike,fanil
Percy,moisej
Adolph,vikentij
Maurice,savelij
Cornelius,mechislav
Felix,maryan
Reuben,fanis
