@ -0,0 +1,9778 @@
WEST,EAST
SMITH,NGUYEN
JOHNSON,LEE
MILLER,KIM
BROWN,PATEL
JONES,TRAN
WILLIAMS,CHEN
DAVIS,WONG
ANDERSON,LE
WILSON,YANG
MARTIN,WANG
TAYLOR,CHANG
MOORE,CHAN
THOMPSON,PHAM
WHITE,LI
CLARK,PARK
THOMAS,SINGH
HALL,LIN
BAKER,LIU
NELSON,WU
ALLEN,HUANG
YOUNG,LAM
HARRIS,HUYNH
KING,HO
ADAMS,CHOI
LEWIS,YU
WALKER,SHAH
WRIGHT,CHUNG
ROBERTS,KHAN
CAMPBELL,ZHANG
JACKSON,VANG
PHILLIPS,TRUONG
HILL,NG
SCOTT,PHAN
ROBINSON,LIM
MURPHY,XIONG
COOK,VU
GREEN,CHENG
LEE,CHO
EVANS,VO
PETERSON,TANG
MORRIS,NGO
COLLINS,CHU
MITCHELL,LU
PARKER,KANG
ROGERS,LY
STEWART,HONG
TURNER,DANG
WOOD,HOANG
CARTER,DO
MORGAN,CHIN
COX,TAN
KELLY,LAU
EDWARDS,BUI
BAILEY,KAUR
WARD,HAN
REED,MA
MYERS,DUONG
SULLIVAN,LEUNG
COOPER,YEE
BENNETT,SONG
HUGHES,CHEUNG
LONG,ALI
FISHER,SHIN
PRICE,AHMED
RUSSELL,YI
HOWARD,THAO
GRAY,LAI
BELL,HSU
WATSON,FONG
REYNOLDS,REYES
FOSTER,SUN
ROSS,CHOW
OLSON,YOUNG
RICHARDSON,LIANG
SNYDER,LO
POWELL,HWANG
STEVENS,SANTOS
BROOKS,CRUZ
PERRY,OH
WEST,SHARMA
COLE,CHAU
WAGNER,GARCIA
MEYER,HA
KENNEDY,KUMAR
BARNES,XU
HAMILTON,DESAI
GRAHAM,THOMAS
SCHMIDT,HU
SANDERS,LUU
MCDONALD,ZHOU
PATTERSON,DINH
MURRAY,YOON
GIBSON,TRINH
WALLACE,TAM
BUTLER,LUONG
HAYES,CHONG
BURNS,CHIU
ELLIS,ZHENG
FOX,CAO
STONE,ZHU
HENDERSON,WOO
WELLS,ZHAO
RYAN,JUNG
JENKINS,MAI
HANSEN,KO
WEBB,RAMOS
JAMES,CHUN
JORDAN,HER
GRIFFIN,SMITH
HOFFMAN,KONG
HARRISON,GUPTA
ROSE,YOO
SIMMONS,DOAN
MARSHALL,MOUA
JOHNSTON,KWON
OWENS,PAK
NICHOLS,DELACRUZ
WEAVER,TSAI
KELLEY,MEHTA
MILLS,MENDOZA
ALEXANDER,TONG
TUCKER,JIANG
PALMER,BAUTISTA
RICE,SHEN
LARSON,VUE
SIMPSON,SU
SHAW,THAI
CARLSON,ENG
HUNT,JOHNSON
BLACK,DAO
FORD,CHOU
PETERS,HUSSAIN
ARNOLD,PAN
ROBERTSON,AHN
PIERCE,CHAO
DUNN,KWAN
CRAWFORD,QUACH
BRYANT,LOR
CARPENTER,RAHMAN
PORTER,FERNANDEZ
CARROLL,CHA
ELLIOTT,YAN
FREEMAN,VUONG
MASON,CHIANG
FERGUSON,LEONG
OBRIEN,HE
HART,FLORES
COLEMAN,FUNG
WARREN,DONG
JENSEN,NAKAMURA
GARDNER,TO
HICKS,CHOE
STEPHENS,ONG
HENRY,TANAKA
GORDON,LOUIE
BURKE,YUN
WEBER,LOPEZ
DUNCAN,TU
RICHARDS,YAMAMOTO
WOODS,MATHEW
HANSON,DEGUZMAN
LANE,YUEN
PAYNE,MOON
CHAPMAN,FANG
SCHULTZ,YEUNG
WHEELER,KUO
RAY,RIVERA
CUNNINGHAM,SON
WALSH,RAO
KNIGHT,GONZALES
BISHOP,AHMAD
BOYD,MOY
ARMSTRONG,GUO
SCHNEIDER,PANG
HUNTER,SO
SPENCER,YEH
LYNCH,PEREZ
MORRISON,AQUINO
RILEY,GILL
ANDREWS,REDDY
BERRY,TSANG
BRADLEY,WILLIAMS
PERKINS,BROWN
HUDSON,WEI
WELCH,GEORGE
GILBERT,SATO
LAWRENCE,VILLANUEVA
HOWELL,FENG
WALTERS,TA
HOLMES,SAECHAO
WILLIAMSON,LIAO
JACOBS,JOSEPH
DAVIDSON,MALIK
LAWSON,LUM
KELLER,DELEON
MAY,CASTILLO
DIXON,TOM
DAY,JAIN
CARR,LEW
DEAN,JANG
GEORGE,HUNG
FOWLER,FU
BECK,WATANABE
NEWMAN,FAN
HAWKINS,AU
BECKER,HSIEH
BOWMAN,AMIN
GREENE,GAO
HARPER,YIP
BREWER,PHUNG
MATTHEWS,CHING
POWERS,YUAN
SCHWARTZ,SUNG
WILLIS,TSE
FULLER,SUH
BARRETT,LUI
DANIELS,CASTRO
HARVEY,PENG
COHEN,CHI
CURTIS,GEE
WATKINS,YIM
HOLLAND,JIN
MONTGOMERY,AN
AUSTIN,HUA
GRANT,KAO
GARRETT,ABRAHAM
ERICKSON,VAN
LAMBERT,HUI
KLEIN,JOSHI
ZIMMERMAN,KWONG
WOLFE,LUO
MCCARTHY,PRASAD
STANLEY,MARTIN
BARKER,JONES
BURTON,CHOWDHURY
OLIVER,DOMINGO
LITTLE,MILLER
LUCAS,PARIKH
LEONARD,XIE
PEARSON,SHI
MCCOY,RODRIGUEZ
CRAIG,MARTINEZ
BARNETT,TORRES
BATES,DIEP
GREGORY,YE
HOPKINS,HERNANDEZ
OCONNOR,MIN
WARNER,BEGUM
SWANSON,SUZUKI
NORRIS,HANG
HALE,ISLAM
ROBBINS,SANCHEZ
HOLT,QUAN
RHODES,LA
CHRISTENSEN,DU
STEELE,KWOK
MCDANIEL,DAVIS
BENSON,YAO
MANN,MEI
SHELTON,TAKAHASHI
LOWE,SYED
HIGGINS,YEN
FISCHER,LEI
DOYLE,VARGHESE
GRIFFITH,TSENG
REID,CAI
FRANKLIN,CHOY
QUINN,NAM
FLEMING,HOM
SUTTON,LAW
BALL,SIDDIQUI
MCLAUGHLIN,DAVID
WOLF,SANTIAGO
SHARP,WAN
GALLAGHER,LING
BOWEN,JOHN
FITZGERALD,LONG
GROSS,YIN
SCHROEDER,TOLENTINO
POTTER,SHIH
CALDWELL,THACH
JENNINGS,GONG
REEVES,GANDHI
ADKINS,KING
BRADY,BAE
LYONS,ITO
MULLINS,DENG
WADE,MATSUMOTO
BALDWIN,RAMIREZ
VAUGHN,GUAN
MUELLER,SORIANO
CHAMBERS,DELROSARIO
PAGE,MAO
PARKS,YAMADA
BLAIR,DIZON
FIELDS,SEO
PARSONS,POON
FLETCHER,SANDHU
WATTS,ANDERSON
SIMS,MAK
RAMSEY,LAO
HARTMAN,WILSON
KRAMER,IM
BUSH,ZENG
HORTON,TUNG
BAUER,CHON
BARBER,QURESHI
SHERMAN,SHIM
DOUGLAS,KOO
GRAVES,CHEW
CHANDLER,YOSHIDA
CROSS,WEN
BARTON,PASCUAL
HARMON,JACOB
CUMMINGS,PERSAUD
FLYNN,UNG
TODD,VALDEZ
MCKINNEY,FRANCISCO
GOODMAN,KU
TERRY,SAITO
CASEY,BHATT
FRANK,LOW
DAWSON,YUNG
OWEN,KOBAYASHI
NEWTON,SIU
THORNTON,TAI
MORAN,BHAKTA
SHAFFER,CORPUZ
MCCORMICK,WON
BURGESS,RHEE
MCGUIRE,SIM
GOODWIN,ALAM
HESS,DAS
NORTON,MAN
FRENCH,KATO
OSBORNE,MUI
MANNING,TON
BOWERS,KIMURA
ROTH,HIGA
HARRINGTON,SOK
OLSEN,NAVARRO
ROWE,CHAUDHRY
BYRD,CHIEN
NEAL,DIAZ
HAMMOND,YOU
WEISS,MERCADO
FARMER,GUTIERREZ
WISE,KWAK
SPARKS,GU
GARNER,SAM
WEBSTER,YAP
PAUL,SIN
RODGERS,MOHAMMED
MOSS,JUN
GARCIA,NAIR
PETERSEN,RANA
SIMON,THOMPSON
HOOVER,TAYLOR
HODGES,CHEA
HAYNES,LIEU
FRAZIER,ROY
MILES,VONG
DECKER,YONG
MARSH,MIRANDA
MEYERS,IQBAL
STRICKLAND,GOMEZ
BLAKE,HOU
DENNIS,OSHIRO
LAMB,XIAO
BUCHANAN,TAO
HOGAN,MEDINA
BROCK,SHAIKH
YATES,JEONG
COCHRAN,MORALES
LARSEN,TING
CONNER,GO
LANG,CHUA
DANIEL,BHATIA
HUBBARD,IGNACIO
MAXWELL,SASAKI
WATERS,PAUL
CANNON,OCAMPO
PATTON,JAVIER
REESE,DHILLON
HARDY,TSUI
GILL,MOORE
MALONE,HAYASHI
DRAKE,ZHONG
PRATT,PASCUA
STEVENSON,VERMA
SHORT,KOH
WALL,MANUEL
FOLEY,VELASCO
SWEENEY,YAU
TOWNSEND,MAR
WILCOX,FERNANDO
WILKINSON,WHITE
HENSLEY,TENG
ABBOTT,HOSSAIN
FARRELL,SHETH
SHEPHERD,DEJESUS
SAUNDERS,SHEIKH
MARTINEZ,LOO
NORMAN,KAM
MCGEE,DEVERA
BRYAN,DING
MCBRIDE,HASAN
BERG,TRIEU
COMBS,ANGELES
LOVE,DAI
BRENNAN,DAVE
CAIN,YAMAGUCHI
CLINE,JIMENEZ
HUFFMAN,KUNG
BALLARD,FERRER
COBB,ANTONIO
KIRBY,CHUANG
