WEST,EAST
Mary,bng
Anna,bin
Emma,cng
Elizabeth,chi
Minnie,chn
Margaret,chng
Ida,chu
Alice,cho
Bertha,chun
Sarah,chung
Annie,dng
Clara,din
Ella,dun
Florence,fng
Cora,gng
Martha,gun
Laura,hun
Nellie,xng
Grace,hng
Carrie,hui
Maude,hung
Mabel,jia
Bessie,jin
Jennie,jing
Gertrude,jio
Julia,jng
Hattie,jun
Edith,kng
Mattie,kui
Rose,kung
Catherine,lng
Lillian,lin
Ada,ling
Lillie,lio
Helen,lun
Jessie,mng
Louise,min
Ethel,mio
Lula,nng
Myrtle,nin
Eva,png
Frances,qin
Lena,qing
Lucy,qio
Edna,qng
Maggie,qun
Pearl,rng
Daisy,shn
Fannie,shng
Josephine,sho
Dora,shu
Rosa,shui
Katherine,sng
Agnes,tng
Marie,tin
Nora,tio
May,dio
Mamie,tun
Blanche,wng
Stella,xin
Ellen,xing
Nancy,xio
Effie,xun
Sallie,yng
Nettie,yun
Della,zng
Lizzie,zhi
Flora,zhn
Susie,zhng
Maud,zho
Mae,zhe
Etta,zhu
Harriet,zhung
Sadie,elena
Caroline,tatyana
Katie,natalya
Lydia,olga
Elsie,mariya
Kate,anna
Susan,irina
Mollie,svetlana
Alma,valentina
Addie,lyudmila
Georgia,galina
Eliza,nina
Lulu,ekaterina
Nannie,nadezhda
Lottie,aleksandra
Amanda,vera
Belle,marina
Charlotte,tamara
Rebecca,lyubov
Ruth,yuliya
Viola,lidiya
Olive,antonina
Amelia,anastasiya
Hannah,oksana
Jane,larisa
Virginia,zinaida
Emily,klavdiya
Matilda,evgeniya
Irene,alla
Kathryn,raisa
Esther,zoya
Willie,inna
Henrietta,nataliya
Ollie,evdokiya
Amy,viktoriya
Rachel,liliya
Sara,zhanna
Estella,elizaveta
Theresa,margarita
Augusta,taisiya
Ora,pelageya
Pauline,elvira
Josie,praskovya
Lola,olesya
Sophia,albina
Leona,veronika
Anne,kseniya
Mildred,alesya
Ann,varvara
Beulah,sofiya
Callie,polina
Lou,alina
Delia,darya
Eleanor,rimma
Barbara,gulnara
Iva,regina
Louisa,anzhela
Maria,roza
Mayme,sofya
Evelyn,anzhelika
Estelle,alevtina
Nina,alena
Betty,guzel
Marion,serafima
Bettie,yanina
Dorothy,inessa
Luella,iraida
Inez,kristina
Lela,diana
Rosie,faina
Allie,dina
Millie,yana
Janie,ajgul
Cornelia,valeriya
Victoria,alfiya
Ruby,nelli
Winifred,matrena
Alta,yadviga
Celia,inga
Christine,efrosinya
Beatrice,ulyana
Birdie,zulfiya
Harriett,majya
Mable,venera
Myra,rita
Sophie,angelina
Tillie,klara
Isabel,gulnaz
Sylvia,snezhana
Carolyn,elza
Isabelle,elmira
Leila,teresa
Sally,danuta
Ina,ilona
Essie,aliya
Bertie,marfa
Nell,taisa
Alberta,kapitalina
Katharine,ella
Lora,avgusta
Rena,stanislava
Mina,elina
Rhoda,liana
Mathilda,anfisa
Abbie,taisya
Eula,zilya
Dollie,kira
Hettie,eleonora
Eunice,emma
Fanny,dinara
Ola,emiliya
Lenora,nailya
Adelaide,leokadiya
Christina,rozaliya
Lelia,almira
Nelle,kapitolina
Sue,violetta
Johanna,paraskovya
Lilly,vanda
Lucinda,aleftina
Minerva,rufina
Lettie,nonna
Roxie,irena
Cynthia,marianna
Helena,gulshat
Hilda,karina
Hulda,lyutsiya
Bernice,luiza
Genevieve,liya
Jean,gelena
Cordelia,lina
Marian,zemfira
Francis,antonida
Jeanette,ida
Adeline,anisya
Gussie,glafira
Leah,lena
Lois,eva
Lura,galiya
Mittie,rima
Hallie,alsu
Isabella,stepanida
Olga,zukhra
Phoebe,rezeda
